Func_id,Func_name,Algibacter_wandonensis_CECT_8301,Alteromonas_macleodii_ATCC_27126,Anabaena_sp_PCC_7108,Arenibacter_echinorum_DSM_23522,Bizionia_echini_DSM_23925,Candidatus_Pelagibacter_ubique_SAR11_HTCC1062,Cellulophaga_fucicola_DSM_24786,Cellulophaga_lytica_LIM_21_DSM_7489,Cellulophaga_tyrosinoxydans_DSM_21164,Crocosphaera_watsonii_WH_8501,Dokdonia_pacifica_DSM_25597,Dokdonia_sp_PRO95,Eudoraea_adriatica_DSM_19308,Eudoraea_chungangensis_Aa_C5,Eudoraea_chungangensis_Aa_D4,Flagellimonas_sp_Aa_F7,Flavobacterium_branchiophilum_FL_15,Flavobacterium_columnare_ATCC_49512,Flavobacterium_indicum_GPTSA100_9,Flavobacterium_johnsoniae_UW101_ATCC_17061,Flavobacterium_psychrophilum_JIP02_86,Formosa_agariphila_KMM_3901,Formosa_spongicola_DSM_22637,Gaetbulibacter_saemankumensis_DSM_17032,Galbibacter_marinus_ck_I2_15,Idiomarina_loihiensis_GSL_199,Imtechella_halotolerans_K1,Joostella_marina_DSM_19592,Kordia_algicida_OT_1,Kordia_periserrulae_DSM_25731,Kriegella_aquimaris_DSM_19886,Lacinutrix_sp_DN105,Lacinutrix_sp_DN112,Lacinutrix_sp_Hel_I_90,Lacinutrix_venerupis_DOK2_8,Lutibacter_maritimus_DSM_24450,Maribacter_arcticus_DSM_23546,Maribacter_polysiphoniae_DSM_23514,Maribacter_spongiicola_DSM_25233,Maribacter_vaceletii_DSM_25230,Muricauda_antarctica_DSM_26351,Muricauda_pacifica_DSM_25027,Muriicola_jejuensis_DSM_21206,Nonlabens_spongiae_JCM_13191,Nonlabens_ulvanivorans_DSM_22727,Polaribacter_haliotis_RA4_7,Polaribacter_sp_MED152,Prochlorococcus_marinus_MIT9515,Psychroserpens_sp_Hel_I_66,Pustulibacterium_marinum_CGMCC_1_12333,Robiginitalea_myxolifaciens_DSM_21019,Roseobacter_litoralis_Och_149,Ruegeria_pomeroyi_DSS_3,Sinomicrobium_oceani_CGMCC_1_12145,Spongiimicrobium_salis_DN50,Spongiimicrobium_salis_Da_B9,Synechococcus_sp_WH_8016,Tamlana_sedimentorum_JCM_19808,Tenacibaculum_adriaticum_DSM_18961,Tenacibaculum_mesophilum_DSM_13764,Trichodesmium_erythraeum_IMS101,Winogradskyella_arenosi_CECT_7958,Winogradskyella_eximia_CECT_7946,Winogradskyella_jejuensis_DSM_25330,Winogradskyella_sp_J14_2,Zobellia_galactanivorans_DsijT
pfam08281,"Sigma-70, region 4",0.003996004,0.003044912,0.000382629,0.006829046,0.00390625,0,0.005722461,0.00565813,0.00436273,0.000585138,0.004830918,0.003949967,0.004470522,0.004823636,0.004839685,0.009004237,0.002051282,0.001462523,0.002556611,0.004510688,0.002794411,0.003856749,0.004728132,0.005462491,0.004142766,0.001840265,0.010607169,0.004745255,0.005235602,0.005571705,0.007379338,0.010159317,0.004669452,0.003707929,0.00449827,0.00540197,0.004255319,0.005569169,0.004622496,0.006485849,0.007069722,0.006742114,0.005263158,0.003874717,0.003084304,0.005653079,0.004406904,0,0.004316547,0.003951528,0.005868139,0.001092419,0.000688863,0.011212334,0.009070851,0.006964964,0,0.007134703,0.006695681,0.005884276,0.000775795,0.004611128,0.006146446,0.005586592,0.005247622,0.006574622
pfam00271,Helicase conserved C-terminal domain,0.004245754,0.003806141,0.003826287,0.003869793,0.004231771,0.004304161,0.004291845,0.005360334,0.004985977,0.002486834,0.002415459,0.004937459,0.002794077,0.003014772,0.003024803,0.002648305,0.005811966,0.004387569,0.003652301,0.003333987,0.004790419,0.004958678,0.004728132,0.004369993,0.003824092,0.005152742,0.003657644,0.003246753,0.003490401,0.003875969,0.002792182,0.00323251,0.003686409,0.003993155,0.005882353,0.004766444,0.004521277,0.003787035,0.004108885,0.005011792,0.002925402,0.002407898,0.003618421,0.004197611,0.004797807,0.004760488,0.00550863,0.004065041,0.004604317,0.003688093,0.003451847,0.002840288,0.002525832,0.002569493,0.003432214,0.002110595,0.004267892,0.003139269,0.005021761,0.004576659,0.003491078,0.005225945,0.004810262,0.004888268,0.00360774,0.003725619
pfam00884,Sulfatase,0.013486513,0.000507485,0,0.015251537,0.000651042,0,0.003433476,0.004466945,0.004985977,0.000585138,0.000201288,0,0.005588153,0.008441363,0.008469449,0.006091102,0.000683761,0.000731261,0.00109569,0.002353403,0.000798403,0.012396694,0.001013171,0.004734159,0.001274697,0.001104159,0.002560351,0.004995005,0.0004363,0.003149225,0.017550858,0.006926807,0.000983043,0.000285225,0.001384083,0.000317763,0.002659574,0.004232569,0.006676939,0.015035377,0.000731351,0.001926318,0.000657895,0,0.001370802,0.006843201,0.001101726,0,0.00057554,0.001053741,0.002071108,0.001529386,0.001607348,0.002803083,0.000245158,0.001055298,0.000984898,0.012271689,0,0.000653808,0,0.003996311,0.004008552,0.000349162,0.002623811,0.016436555
pfam04397,LytTr DNA-binding domain,0.003746254,0.001268714,0,0.004325063,0.002929688,0,0.004864092,0.005062537,0.003427859,0,0.008856683,0.002633311,0.002794077,0.00542659,0.004839685,0.006885593,0.003076923,0.001462523,0.003287071,0.004314571,0.001996008,0.002479339,0.003039514,0.001092498,0.001593372,0.001104159,0.002926116,0.001998002,0.005890052,0.005329457,0.00378939,0.006234126,0.007372819,0.002567028,0.004152249,0.002859867,0.004787234,0.004900869,0.004365691,0.003537736,0.005607021,0.007946063,0.002960526,0.002906038,0.002741604,0.004760488,0.004774146,0,0.003453237,0.003161222,0.003451847,0.000436967,0.000688863,0.002569493,0.011522432,0.006964964,0,0.003995434,0.005021761,0.005557372,0,0.003381494,0.004543025,0.003840782,0.003279764,0.003287311
pfam04055,Radical SAM superfamily,0.003996004,0.003044912,0.004591544,0.002959253,0.003580729,0.00215208,0.003147353,0.004169148,0.004051106,0.002925688,0.003824477,0.003949967,0.003352892,0.00331625,0.003327284,0.003177966,0.003418803,0.00511883,0.003652301,0.002745636,0.005189621,0.003856749,0.003377237,0.005098325,0.003824092,0.003312477,0.004023409,0.003496503,0.004363002,0.005329457,0.002393299,0.003694297,0.003194888,0.005134056,0.00449827,0.003813155,0.003457447,0.002673201,0.003338469,0.004127358,0.003169186,0.002889477,0.003618421,0.003874717,0.003769705,0.003570366,0.004406904,0.005081301,0.003453237,0.003161222,0.003797031,0.003058772,0.003214696,0.003503854,0.004412846,0.002532714,0.004924491,0.003710046,0.004352193,0.005230467,0.003878976,0.003996311,0.004008552,0.004888268,0.003935717,0.003068157
pfam00534,Glycosyl transferases group 1,0.004995005,0.002029942,0.008035202,0.001593444,0.006184896,0.005021521,0.001430615,0.001488982,0.002492988,0.003949678,0.004227053,0.003620803,0.002514669,0.002713295,0.002722323,0.001853814,0.007179487,0.003656307,0.004747991,0.003530104,0.004391218,0.004132231,0.006754475,0.005462491,0.001593372,0.000736106,0.001828822,0.001248751,0.002399651,0.002664729,0.002991623,0.005079658,0.002457606,0.003137479,0.003806228,0.003495392,0.002393617,0.001782134,0.002824859,0.003242925,0.002681619,0.002889477,0.001315789,0.004197611,0.003769705,0.005653079,0.002570694,0.006097561,0.006906475,0.002897787,0.002416293,0.00174787,0.001377727,0.001167951,0.001470949,0.001477417,0.004924491,0.005993151,0.002343488,0.001634521,0.004072925,0.006148171,0.005611972,0.004189944,0.005575599,0.003287311
pfam13561,Enoyl-(Acyl carrier protein) reductase,0.003496503,0.003298655,0.001530515,0.005235602,0.002278646,0.006456241,0.003147353,0.002977963,0.003427859,0.000585138,0.002616747,0.002962475,0.005308745,0.006632499,0.006654567,0.003707627,0.001709402,0.001096892,0.00109569,0.004314571,0.001596806,0.004132231,0.002026342,0.001456664,0.005098789,0.002208318,0.002560351,0.003996004,0.001963351,0.001453488,0.005384922,0.00323251,0.002211846,0.002567028,0.003114187,0.002859867,0.005585106,0.002895968,0.005136107,0.005601415,0.003412969,0.003371057,0.001973684,0.001937359,0.005140507,0.003272835,0.00367242,0.00152439,0.002877698,0.003688093,0.002416293,0.005243609,0.005740528,0.003503854,0.002941898,0.00443225,0.000984898,0.003710046,0.002678273,0.001961425,0.001357642,0.002766677,0.003474078,0.00174581,0.002623811,0.006355468
pfam13585,C-terminal domain of CHU protein family,0.004995005,0,0,0.003414523,0.00390625,0,0.004577969,0.004466945,0.004985977,0,0.002415459,0.003620803,0.0036323,0.004220681,0.004234725,0.00529661,0.003418803,0.002925046,0.005843682,0.002353403,0.004391218,0.001101928,0.004052685,0.003277495,0.002549395,0,0.003657644,0.002497502,0.003054101,0.003149225,0.003191065,0.004156084,0.005652494,0.003422704,0.006228374,0.002224341,0.004521277,0.003341501,0.005136107,0.004716981,0.00414432,0.003852637,0.003947368,0.003874717,0.005825908,0.001487652,0.002937936,0,0.005755396,0.004214963,0.004487401,0,0,0.001401542,0.003677372,0.003165893,0,0.004280822,0.003013057,0.004249755,0,0.005840762,0.005077499,0.005586592,0.005903575,0.003944773
pfam07980,SusD family,0.008491508,0,0,0.005007967,0.000325521,0,0.005436338,0.005955926,0.002804612,0,0.001006441,0.001316656,0.000838223,0.000904432,0.000907441,0.00529661,0.001367521,0.000365631,0.00036523,0.006864091,0,0.006060606,0,0.005098325,0.008604207,0,0.009509876,0.007242757,0.0008726,0.002180233,0.009972078,0.004386978,0.000737282,0.000855676,0.001384083,0.002859867,0.001329787,0.005123636,0.003595275,0.005896226,0.005850804,0.001685529,0.001315789,0.000645786,0.001370802,0.003867896,0.002203452,0,0.002014388,0.006849315,0.001035554,0,0,0.012847466,0.002206423,0.002532714,0,0.005993151,0.002343488,0.002615234,0,0.001844451,0.002137894,0.000698324,0.001311906,0.013587552
pfam13181,Tetratricopeptide repeat,0.003996004,0.001014971,0.003443658,0.002731618,0.004231771,0.00143472,0.002575107,0.003871352,0.002492988,0.002486834,0.005233494,0.003291639,0.002794077,0.004220681,0.004234725,0.002648305,0.002393162,0.001462523,0.002556611,0.003333987,0.002794411,0.002479339,0.003377237,0.003277495,0.000956023,0.000368053,0.001463058,0.002497502,0.002835951,0.005813953,0.003988831,0.00392519,0.006389776,0.002852253,0.005536332,0.002542104,0.002925532,0.001782134,0.001797637,0.002948113,0.003169186,0.002889477,0.003947368,0.002583145,0.002056203,0.003272835,0.002570694,0.00152439,0.003453237,0.002370917,0.002416293,0,0.000229621,0.001401542,0.005148321,0.003165893,0.000984898,0.003424658,0.00167392,0.003269042,0.010279286,0.003996311,0.004275788,0.00349162,0.003935717,0.002410695
pfam00691,OmpA family,0.003496503,0.001776199,0.000191314,0.003414523,0.003255208,0.00071736,0.003719599,0.004764741,0.004674353,0,0.004025765,0.005595787,0.002794077,0.003014772,0.003024803,0.003707627,0.003076923,0.003656307,0.005843682,0.002941753,0.003992016,0.002754821,0.00270179,0.002913328,0.003186743,0.001840265,0.004754938,0.002497502,0.002617801,0.002180233,0.00259274,0.002770723,0.004177931,0.004563605,0.005190311,0.003813155,0.003457447,0.002895968,0.004108885,0.004127358,0.00414432,0.003371057,0.003618421,0.002906038,0.005483208,0.002380244,0.002570694,0,0.003165468,0.002634352,0.003106662,0.001966354,0.00206659,0.002569493,0.002451581,0.003165893,0,0.003710046,0.003013057,0.003269042,0.000581846,0.003688903,0.004008552,0.003142458,0.00360774,0.004163927
pfam14322,Starch-binding associating with outer membrane,0.008241758,0,0,0.004552697,0.000325521,0,0.005436338,0.006253722,0.002492988,0,0.000805153,0.000987492,0.000558815,0.000904432,0.000907441,0.00529661,0.001367521,0.000365631,0,0.006864091,0,0.006060606,0,0.005098325,0.008285532,0,0.009144111,0.006743257,0.00109075,0.002180233,0.009573195,0.004617871,0.000491521,0.000570451,0.001384083,0.002542104,0.001329787,0.004900869,0.003595275,0.005896226,0.005607021,0.001444739,0.000986842,0.000645786,0.001028101,0.004165427,0.002203452,0,0.002014388,0.006849315,0.001035554,0,0,0.012380285,0.001716107,0.002321655,0,0.005707763,0.002008704,0.00228833,0,0.001844451,0.001870657,0.000698324,0.000983929,0.013149244
pfam07992,Pyridine nucleotide-disulphide oxidoreductase,0.003246753,0.003044912,0.002678401,0.003186888,0.002604167,0.003586801,0.003719599,0.003871352,0.004051106,0.001462844,0.002415459,0.002962475,0.001676446,0.003014772,0.003024803,0.002913136,0.002735043,0.001828154,0.002556611,0.002157286,0.00239521,0.003856749,0.00270179,0.003641661,0.00446144,0.003312477,0.002926116,0.005744256,0.002617801,0.002422481,0.003191065,0.001847148,0.002211846,0.003137479,0.003460208,0.003177629,0.002925532,0.002450434,0.004365691,0.003832547,0.003412969,0.002889477,0.001973684,0.003228931,0.003084304,0.003272835,0.004406904,0.00254065,0.003165468,0.003424658,0.003797031,0.003714223,0.003673938,0.003503854,0.002206423,0.002954833,0.002298096,0.003139269,0.003682625,0.003269042,0.001939488,0.003996311,0.002939604,0.002444134,0.002295835,0.003725619
pfam00578,AhpC/TSA family,0.002997003,0.001776199,0.001721829,0.002048714,0.002929688,0.00215208,0.004864092,0.004466945,0.003116236,0.000731422,0.0034219,0.004937459,0.002794077,0.002110341,0.002117362,0.002913136,0.002393162,0.001828154,0.002556611,0.002941753,0.001996008,0.003030303,0.004728132,0.003277495,0.00446144,0.002208318,0.003657644,0.003246753,0.003272251,0.002180233,0.003589948,0.00646502,0.00393217,0.002852253,0.004844291,0.002859867,0.001861702,0.002895968,0.003595275,0.002948113,0.002437835,0.002167108,0.002631579,0.002583145,0.004455106,0.002677774,0.002937936,0.00254065,0.003165468,0.002897787,0.002071108,0.000873935,0.001377727,0.004671806,0.002206423,0.002321655,0.001641497,0.003995434,0.004017409,0.002942138,0.001357642,0.003381494,0.003741315,0.002793296,0.003279764,0.003287311
pfam07690,Major Facilitator Superfamily,0.003496503,0.005074854,0.001721829,0.004552697,0.002278646,0.004304161,0.003433476,0.003871352,0.003427859,0.000877706,0.001610306,0.001974984,0.003352892,0.003617727,0.003629764,0.002913136,0.003076923,0.002559415,0.002191381,0.004706805,0.004391218,0.003856749,0.000675447,0.003641661,0.002868069,0.003312477,0.002194587,0.003496503,0.001963351,0.001937984,0.00378939,0.003694297,0.001228803,0.002281803,0.002422145,0.003495392,0.003457447,0.003564268,0.003338469,0.005601415,0.003169186,0.002889477,0.003289474,0.001614466,0.001370802,0.002677774,0.00367242,0.00101626,0.002014388,0.003424658,0.002416293,0.00349574,0.004822044,0.003971035,0.001716107,0.003376952,0.003611293,0.002853881,0.002008704,0.001307617,0.001163693,0.002766677,0.002137894,0.002444134,0.000983929,0.003506465
pfam00270,DEAD/DEAH box helicase,0.002997003,0.003552398,0.002295772,0.003186888,0.00390625,0.00143472,0.003147353,0.003573556,0.003739483,0.001316559,0.001811594,0.003949967,0.001676446,0.002110341,0.002117362,0.002118644,0.004786325,0.003290676,0.002921841,0.00254952,0.004391218,0.004407713,0.003714961,0.002913328,0.00223072,0.004784689,0.003657644,0.002497502,0.002835951,0.003149225,0.002393299,0.001847148,0.003194888,0.003422704,0.004844291,0.003495392,0.003457447,0.002450434,0.003338469,0.003537736,0.001950268,0.001685529,0.002631579,0.003228931,0.004112406,0.003570366,0.004039662,0.00304878,0.003165468,0.002897787,0.002416293,0.002184837,0.00206659,0.001635132,0.002696739,0.001266357,0.003282994,0.001997717,0.004352193,0.003595946,0.001745539,0.003996311,0.003741315,0.004189944,0.002623811,0.003068157
pfam00583,Acetyltransferase (GNAT) family,0.002497502,0.003298655,0.002487086,0.005690872,0.001953125,0.00215208,0.002575107,0.002084574,0.004985977,0.001316559,0.002818035,0.002633311,0.004470522,0.003014772,0.003024803,0.004766949,0.004444444,0.002193784,0.002191381,0.004314571,0.001996008,0.002754821,0.00270179,0.001456664,0.002549395,0.004048583,0.003657644,0.002247752,0.001963351,0.001937984,0.003390507,0.003001616,0.002949128,0.002567028,0.002768166,0.002542104,0.003723404,0.002895968,0.002824859,0.002948113,0.002437835,0.005056586,0.003947368,0.001291572,0.002056203,0.002380244,0.002937936,0.00203252,0.002302158,0.002897787,0.003106662,0.003058772,0.002985075,0.002803083,0.003187056,0.003799071,0.001641497,0.002283105,0.005021761,0.00228833,0.00155159,0.00215186,0.002672368,0.002793296,0.002295835,0.003068157
pfam00571,CBS domain,0.002747253,0.00279117,0.002487086,0.003186888,0.002929688,0.00143472,0.00286123,0.002977963,0.003116236,0.001609128,0.001811594,0.003620803,0.0036323,0.003617727,0.003629764,0.002913136,0.003076923,0.002193784,0.002921841,0.00254952,0.002794411,0.002754821,0.004052685,0.004734159,0.002868069,0.00368053,0.004023409,0.002497502,0.002181501,0.002664729,0.002193857,0.002308936,0.002211846,0.002567028,0.002422145,0.003813155,0.003191489,0.003118735,0.002568053,0.002948113,0.002681619,0.002889477,0.003289474,0.003551824,0.003084304,0.002677774,0.00367242,0.00101626,0.002302158,0.002370917,0.003797031,0.001966354,0.00206659,0.002569493,0.002696739,0.002743774,0.000984898,0.002568493,0.003682625,0.003595946,0.001745539,0.002766677,0.003206841,0.004539106,0.003935717,0.002191541
